0	The Rules of Writing
1	Dear Stack Exchange, I am very disappointed in you - How to construct a strong opening line in a letter?
2	How do you write a Stack Exchange answer?
3	How to write a prompt email?
4	Whats the modern way to handle gender in tech writing?
5	How can I write about historical realities that readers mistakenly believe are unrealistic?
6	Using real words from a foreign culture feels like Calling a rabbit a smeerp
7	Do You Use Any Version Controlling Software/Methods As Writers?
8	Should an emoji come before or after a full-stop?
9	How do I translate into a gendered language where the gender would be a spoiler?
10	The Good, the Bad, and the Semicolon
11	The protagonist cant defeat the antagonist without the antagonist being stupid
12	How do I know if a concept is sexist or not?
13	How to overcome the fact that I cant write?
14	A critic made a comment that my female character sounds like she was written by a man
15	Is there a special software for writers?
16	How to avoid turning dialogue into Q&A session?
17	Avoiding racist tropes in fantasy
18	How do you communicate to people that writing is a job and prevent interruptions?
19	Is the hero guy saves girl trope misogynistic?
20	How to write a story without conflict, like My Neighbour Totoro?
21	Whats the least distracting method to inform editors Im a woman?
22	Is Wikipedia Trustworthy?
23	What kind of protagonist or writing style is Jack Sparrow?
24	Choosing character names is a constant difficulty
25	Sometimes a banana is just a banana
26	What are good reads about writing?
27	How do I write Show, Dont Tell as a person with Asperger Syndrome?
28	All of a sudden... ?
29	Traits of Bad Writers - Analysing Popular Authors
30	How to write a character that knows a lot about explosives?
31	How do I avoid the chosen hero feeling?
32	Should you use two spaces after a period, or just a single one?
33	How can I write an attention-grabbing first line?
34	How does one deal with world builders syndrome?
35	How to make the reader think that the *characters* logic is flawed instead of the authors?
36	How to trick the reader into thinking theyre following a redshirt instead of the protagonist?
37	How do I go from 300 unfinished/half written blog posts, to published posts?
38	What makes a poem a poem?
39	My kids first story
40	Killing the protagonist - should it be done?
41	Convincing argument about something I dont agree with
42	How to creep the reader out with what seems like a normal person?
43	The art of clickbait captions
44	I wrote a novel, now what?
45	Is there any good time-line software out there?
46	The Chosen One paradox
47	The flux capacitor--its what makes time travel possible. When to keep world-building explanations short
48	Is it a bad idea to have multiple bad endings and only one good ending?
49	If Im writing in US English, am I not allowed to use the metric system?
50	Avoiding spectacle creep
51	How to avoid mentioning the name of a character?
52	What are good places to post your work where it will be read by others?
53	How to make travel scenes interesting without adding needless plot diversions?
54	Why write a book when theres a movie in my head?
55	Help! Ive got Writers Block
56	Uh oh - My book stinks. Now what?
57	I have written my first novel and I think its ready. What next?
58	Do Writers Use LaTex/TeX for writing?
59	How unadvisable is it to flip the protagonist into a villain?
60	How to perpetuate the plot-driving riddle without frustrating the reader?
61	Im producing a play with a character who the audience isnt supposed to know is alive, can I credit the actor in the program?
62	What is the correct usage of P.S. in Emails?
63	Avoiding the not like other girls trope?
64	Averting Real Women Don’t Wear Dresses
65	What can a novel do that film and TV cannot?
66	How long can a fantasy novel stay in metaphorical Kansas?
67	What is a normal length for a chapter?
68	Do hard to pronounce names break immersion?
69	How do I recover my confidence after a harsh writing group?
70	Editors: Edit on first read, or read and edit on second round?
71	How do I say that a character said something without resorting to said Character every time?
72	Is it worth switching to Dvorak?
73	How do I hide Chekhovs Gun?
74	How do I convey that a relationship is platonic?
75	How can I explain my world if the character is technologically not yet capable of understanding it?
76	Is there a need for better software for writers?
77	How can I catch more errors when I proofread?
78	How often should I remind my readers of the setting?
79	How does one write a character smarter than oneself?
80	How do I keep the gender of my main character purposely ambiguous?
81	How can I portray body horror and still be sensitive to people with disabilities?
82	Is it expected that a reader will skip parts of what you write?
83	How do I construct a plot out of my many setting/character details?
84	Avoiding the as you know trope in exposition
85	Writing first programming book
86	Getting Inside Someone Elses Head
87	How do you avoid purple prose?
88	How to write a nice frame challenge?
89	How do I write LGBT characters without looking like Im trying to be politically correct?
90	Can I write a book of my D&D game?
91	Would readers feel cheated if the villain is successful in convincing the protagonist to change sides?
92	How to write strategy and schemes beyond my real-life capabilities?
93	How do you make characters relatable if they exist in a completely different moral context?
94	When is it okay to tell, instead of show?
95	Self Editing tips/tricks
96	Is it acceptable to use words like heaven and god when the narrator is agnostic?
97	What are the Pros and Cons of long names?
98	Protagonists race is hidden - should I reveal it?
99	Is it bad if I dont like the best books in my chosen genre?
100	How important is writing for games?
101	How does the 10,000 hour rule apply to writing?
102	Should software product release notes be in marketing voice or technical voice? (software documentation)
103	What is the balance between stating a problem clearly and Hemingways literary iceberg?
104	What is meant by purposeful, habitual, and gratuitous actions?
105	How to represent jealousy in a cute way?
106	How do I stop using the to start sentences so much?
107	How to prevent ebook piracy from stealing your livelihood?
108	Real people dont make good fictional characters. Really true?
109	How should I respond to a supervisor/editor who thinks my technical writing is too conversational?
110	How to show a character being bored for multiple chapters without boring the reader
111	How can I avoid a predictable plot?
112	Is it true that good novels will automatically sell themselves on Amazon (and so on) and there is no need for one to waste time promoting?
113	Is the first page of a novel really that important?
114	Are there advantages in writing by hand over typing out a story?
115	Want to write, have ideas, no story telling techniques or experience, feeling lost?
116	How do I find an agent?
117	Why do hardcover books retail for more than three times the cost of softcover books?
118	Should I use the words pyromancy and necromancy even if they dont mean what people think they do?
119	How to write female characters with agency?
120	My story is written in English, but is set in my home country. What language should I use for the dialogue?
121	Should I self-publish my novella on Amazon or try my luck getting publishers?
122	How to *show* a controversial reality without seeming like Im treating it as acceptable and without stating that this is wrong?
123	How can I answer high-school writing prompts without sounding weird and fake?
124	How do I spot an unintentional promise in my story?
125	Why does an author need an editor?
126	The psychology of starting a piece of writing
127	Where to draw the line between fantasy and reality in a story?
128	Is no religion a bad thing?
129	Would it be cheating to change the main characters name partway through the story?
130	How can you write when youre upset?
131	Do I have any control over the grammar of my novel?
132	How to manage getting depressed by what my main character goes through?
133	How much can a reader remember?
134	Decide on a theme/overarching meaning before writing a short story?
135	Im afraid of quashing the hopes of a new writer
136	Is it okay to publish a book at a young age?
137	How many characters are too many?
138	Should I write a novel if I havent read many?
139	How to get my book taken seriously as a teenager?
140	Evil plans - how do you come up with interesting ones?
141	An LGBT main character, but the book isnt about LGBT issues
142	How to write a sincerely religious protagonist without preaching or affirming or judging their worldview?
143	How can I convince my reader that I will not use a certain trope?
144	Writing a novel, can I do [this or that]?
145	How Much Can You Make From Writing a Book?
146	Writing a Super Intelligent AI
147	Using fake swear words without them seeming out of place to the reader
148	Are illustrations in novels frowned upon?
149	How to write dialogue for someone who is intelligent but barely speaks the language?
150	Is there such a thing as too inconvenient?
151	How do I tell the reader that my character is autistic in Fantasy?
152	Is it a bad idea to adopt an English pen name as an Asian American writer to reach a wider audience?
153	Is there a hemisphere-neutral way of specifying a season?
154	Pitfalls of writing a main character of different gender to the author, specifically first-person perspective?
155	How can I get into the mindset to write?
156	Fan Fiction: a crutch or a good start?
157	Writing a love interest for my hero
158	When blogging recipes, how can I support both readers who want the narrative/journey and ones who want the printer-friendly recipe?
159	How does a writer go about consulting experts?
160	Avoiding repetition when there are two unidentified individuals
161	Organizing your Universe?
162	Explicitly correcting yourself while writing - how appropriate is it ?
163	How can Santa keep his lists when the GDPR is around?
164	How would Facebook Sysadmins prevent the summoning of Cthulhu?
165	Tomorrow is Groundhog Day... For everyone. How does society respond?
166	How do you prove youre from the future?
167	Whats the smallest change to physics required to allow magic?
168	How to safely check if you are immortal?
169	Is there a single historic event which could be changed to cause the USA to use SI units?
170	Whats the most reasonable way to fit Monsters in your Pocket?
171	How can a Horror from Beyond Reason reliably communicate with mortals?
172	Im stranded on an alien planet. How do I measure an earth year without a clock?
173	How might modern humans leave a message for 50,000 years?
174	How do I protect my shop from teleporters?
175	How could dragons be explained without magic?
176	Humans are Gone: Do the Chickens Make It?
177	Russian Dolls - How do they reproduce?
178	You are an advanced AI that controls a smart house. How do you kill your master?
179	What is the least world changing reason why the government would pay for you to keep a llama during your 44th year of life?
180	If everyone in the world disappeared except 35 random people, how long would it take for one of them to realize theyre not alone?
181	Why fill a dungeon with puzzles?
182	Can a substance be more lethal in smaller doses?
183	Anatomically Correct Strange Women In Ponds Distributing Swords
184	How to best upgrade your Towel for military combat?
185	Would a bear cavalry be feasible?
186	If time travel is possible in the future, no matter how distant, why havent they come back to tell us?
187	The AI that fails to be evil
188	How to take down the internet?
189	Santa is Satan, but why?
190	You can control a Demon by knowing its True Name, but why?
191	What is the minimum human population necessary for a sustainable colony?
192	What single change would have given the best chance for the Axis to win World War 2?
193	A Most Subtle Magic
194	Why are there no toilets on the starship Exciting Undertaking?
195	How do Glass Ants create their tunnels?
196	Everything alive in the world dies this instant. Without bacteria to decompose anything, what happens to the remains? What does this look like?
